productid,product,cost,in_stock,item_category,date,items_sold
384,Organic Ramen Noodles,2.89,374,Food - Pasta,3/17/2025,3183
385,Lentils,2.99,664,Food - Grains,5/29/2025,54
386,Tomatillo Salsa,3.29,1,Food - Condiments,3/31/2025,295
387,Frozen Mixed Berries,5.99,442,Food - Frozen Foods,1/8/2025,16
388,Avocado Lime Dressing,4.29,24,Food - Condiments,3/10/2025,600
389,Customizable Name Puzzle,29.99,22,Toys,6/4/2025,2631
390,Spicy Kimchi,4.79,,Food - Condiments,2/15/2025,219
391,Sustainable Wooden Toys,29.99,623,Toys,4/27/2025,604
392,Luxury Yoga Mat,39.99,951,Fitness,5/13/2025,24
393,Classic Black Dress,79.99,481,Clothing - Dresses,10/25/2025,4550
394,Wall-Mounted Wine Rack,39.99,219,Home,8/28/2025,1927
395,Cinnamon Raisin Bread,3.79,62,Food - Bakery,2/2/2025,3000
396,Foot Massager,79.99,650,Health,11/12/2025,73
397,Kale Caesar Salad Kit,5.99,59,Food - Salads,12/13/2025,16
398,Vegetable Stir Fry Mix,3.29,29,Food - Fresh Produce,2/10/2025,16
399,Sketchbook,14.99,1472,Art Supplies,10/6/2025,3088
400,Teriyaki Sauce,2.99,837,Food - Condiments,3/30/2025,1822
401,Slim Wallet,24.99,,Accessories,6/7/2025,85
402,Throw Pillow Covers,22.99,801,Home,12/30/2024,2968
403,Fishing Rod,49.99,178,Outdoor,9/3/2025,93
404,Vegan Tacos,7.49,1099,Food - Frozen Foods,8/18/2025,909
405,Pesto Genovese,6.49,1008,Food - Condiments,7/24/2025,10
406,Adjustable Kitchen Broom Stand,14.99,584,Home,10/11/2025,988
407,Kitchen Knife Sharpening System,39.99,775,Kitchen,7/5/2025,606
408,Smartphone Tripod with Remote,29.99,15,Photography,5/28/2025,157
409,Whole Grain Cereal,3.49,262,Food - Breakfast,9/7/2025,1181
410,Turmeric Ginger Tea,3.29,1532,Food - Beverages,6/7/2025,298
411,Roasted Garlic Pasta Sauce,4.99,1800,Food - Sauces,3/12/2025,4518
412,Thermostatic Shower Valve Kit,39.99,705,Bathroom,5/25/2025,1289
413,Digital Photo Frame,79.99,4557,Home,8/9/2025,892
414,Electric Wine Opener,29.99,1145,Kitchen,4/23/2025,295
415,Handheld Garment Steamer,34.99,4216,Home,5/5/2025,47
416,Feta Cheese,4.99,1450,Food - Dairy,10/13/2025,250
417,Nutritional Yeast,3.59,,Food - Pantry,7/20/2025,291
418,Pet Safety Belt for Car,14.99,1489,Pets,4/15/2025,59
419,Smoked Paprika,2.99,53,Food - Spices,1/27/2025,1632
420,Honey mustard chicken tenders,7.99,90,Food - Meat,1/14/2025,150
421,Children's Art Set,34.99,14,Toys,6/30/2025,4740
422,Almond Flour Cookies,4.99,166,Food - Bakery,9/26/2025,839
423,Sporty Leggings,39.99,101,Clothing - Activewear,10/20/2025,
424,Cotton Tote Bag Set,29.99,596,Accessories,5/8/2025,488
425,Frozen Acai Pur̩e,6.99,778,Food - Frozen,7/24/2025,1770
426,Acoustic Guitar,199.99,88,Music,9/23/2025,0
427,Scented Candles,19.99,93,Home,4/19/2025,96
428,Veggie Lovers Pizza,8.99,31,Food - Frozen Foods,10/21/2025,5800
429,Italian Herb Balsamic Marinade,3.99,1271,Food - Condiments,7/15/2025,7539
430,Californian Raisins,3.19,408,Food - Dried Fruits,10/21/2025,512
431,Luxury Bath Salts,19.99,15,Beauty,2/18/2025,28
432,Chocolate Mint Cookies,2.29,,Food - Baking,12/1/2025,1046
433,Peach Yogurt,1.29,540,Food - Dairy,7/18/2025,426
434,Fishing Rod,49.99,4853,Outdoor,6/8/2025,26
435,Animal Paw Print Soap Dispenser,16.99,2464,Home,3/20/2025,350
436,Spicy Snack Mix,4.99,423,Food - Snacks,3/24/2025,0
437,Organic Honeycrisp Apples,1.99,512,Food - Fruits,4/12/2025,1775
438,Organic Green Lentils,3.99,1110,Food - Grocery,1/27/2025,236
439,Slim Fit Chinos,54.99,27,Clothing - Pants,7/24/2025,238
440,Wall Planner,19.99,2697,Office,3/18/2025,18
441,Coconut Rice,2.29,686,Food - Frozen,8/4/2025,2131
442,Self-Massaging Pillow,49.99,1968,Health,11/25/2025,0
443,Brownie Bites,4.99,504,Food - Baked Goods,3/3/2025,2900
444,Ginger Tea,4.99,3720,Food - Beverages,1/31/2025,30
445,Cotton Tote Bag Set,29.99,346,Accessories,12/1/2025,88
446,Sweet Corn Fritters,4.49,1028,Food - Frozen,10/30/2025,203
447,Tomato Basil Soup,3.49,,Food - Canned Goods,4/9/2025,2184
448,Personalized Keychain,10.99,4444,Accessories,6/2/2025,145
449,Pet Water Fountain,39.99,,Pets,8/3/2025,1266
450,Kombucha Drink,3.49,2346,Food - Beverages,3/16/2025,1176
451,Heavy-Duty Utility Tote,34.99,125,Accessories,9/28/2025,344
452,Rice Pilaf Mix,2.59,4740,Food - Grains,10/28/2025,6
453,Outdoor Adventure Backpack,59.99,659,Outdoor,1/27/2025,36
454,Mechanical Keyboard,99.99,72,Computers,10/8/2025,12
455,Hand Crank Blender,18.99,4952,Kitchen,9/20/2025,4557
456,Sweet Potato Fries,3.99,20,Food - Frozen Foods,10/10/2025,4
457,Lemonade Mix,1.99,1930,Food - Beverages,2/4/2025,435
458,Collapsible Colander,14.99,230,Kitchen,7/2/2025,137
459,Multi-Layer Food Steamer,39.99,1511,Kitchen,10/18/2025,190
460,Noise Reduction Headphones,39.99,980,Audio,2/4/2025,19
461,Personalized Pet ID Tags,9.99,1050,Pets,10/22/2025,15
462,LED Camping Lantern with USB Charging,34.99,1742,Outdoor,12/9/2025,1669
463,Organic Quinoa,4.29,102,Food - Grains,12/9/2025,729
464,Buffalo Stilton Cheese,8.99,1881,Food - Cheese,1/3/2025,13
465,Hibiscus Herbal Tea,3.29,,Food - Beverages,2/6/2025,814
466,Fresh Cilantro,1.49,3490,Food - Produce,6/30/2025,266
467,Mango Chunks,4.89,32,Food - Frozen Fruits,12/10/2025,4326
468,Lasagna Noodles,1.89,4563,Food - Pasta,9/1/2025,10
469,Wall Planner,19.99,-1266,Office,9/8/2025,398
470,Pet Training Pads,24.99,436,Pets,10/6/2025,1834
471,Electric Heating Pad,20.99,8,Health,6/17/2025,1800
472,Samsung Galaxy Smartwatch,249.99,24,Wearable Tech,10/19/2025,712
473,Apple Cinnamon Oatmeal,2.89,100,Food - Breakfast,7/24/2025,1060
474,Outdoor Camping Lantern,34.99,1429,Outdoor,4/15/2025,2525
475,Black Olives,1.99,305,Food - Canned Goods,9/27/2025,5480
476,Dark Chocolate Tart,6.29,21,Food - Desserts,10/27/2025,15
477,Vegetable Sushi Rolls,5.99,495,Food - Prepared Meals,12/23/2024,459
478,Vegan Protein Powder,34.99,2040,Health,7/21/2025,690
479,Camping Tarp,32.99,16,Outdoor,9/8/2025,317
480,Mechanical Pencil Set,19.99,119,Office,7/12/2025,1631
481,Sour Cream,3.49,,Food - Dairy,11/29/2025,3400
482,Solar Garden Lights,39.99,30,Outdoor,1/12/2025,5350
483,Heated Throw Blanket,49.99,825,Home,12/7/2025,4500
484,Lemon Garlic Marinade,4.29,2105,Food - Condiments,11/12/2025,548
485,Baking Soda,0.99,2133,Food - Baking,9/25/2025,1114
486,Kids' Gardening Kit,24.99,83,Toys,1/6/2025,17
487,Air Fryer Oven,149.99,663,Kitchen,5/13/2025,1686
488,Magnetic Phone Car Mount,14.99,15,Automotive,6/10/2025,823
489,Comfortable Bed Pillow,24.99,162,Home,3/9/2025,299
490,Greek Yogurt Parfait,4.49,1969,Food - Dairy,2/15/2025,387
491,Garlic Herb Grilled Chicken,8.99,1050,Food - Frozen Foods,8/11/2025,86
492,Travel Pillow with Memory Foam,29.99,90,Travel,10/22/2025,1864
493,Brussels Sprouts,3.49,1690,Food - Produce,8/16/2025,
494,Tattoo Kit,99.99,29,Art Supplies,11/20/2025,4100
495,Spinach and Cheese Stuffed Shells,5.99,1602,Food - Frozen Meals,12/12/2025,27
496,Foldable Yoga Mat Carry Bag,18.99,1096,Fitness,10/18/2025,30
497,Chino Shorts,34.99,34,Clothing - Bottoms,4/21/2025,1531
498,Spicy Salsa Verde,3.49,556,Food - Condiments,2/28/2025,231
499,Habanero Hot Sauce,3.79,206,Food - Condiments,12/27/2024,2300
500,Self-Watering Planters,49.99,157,Garden,9/8/2025,72
501,Classic Black Dress,79.99,674,Clothing - Dresses,7/26/2025,476
502,Desk Organizer Set,29.99,7,Office,2/1/2025,410
503,Foldable Yoga Mat Carry Bag,18.99,1500,Fitness,12/30/2024,1365
504,Beef Sirloin Steak,15.99,1631,Food - Meat,10/27/2025,169
505,Vegan Chocolate Cake Mix,4.29,,Food - Baking,6/17/2025,840
506,Chickpea Pasta,4.19,56,Food - Pasta,10/30/2025,577
507,Maple Glazed Carrots,3.29,46,Food - Prepared Foods,12/1/2025,147
508,Noise-Canceling Earbuds,79.99,32,Audio,4/9/2025,154
509,Car Diagnostic Scanner,49.99,,Automotive,10/7/2025,113
510,Electric Blanket,59.99,1217,Home,6/12/2025,97
511,Portable Hammock Swing,59.99,13,Outdoor,2/22/2025,16
512,Ginger Turmeric Latte Mix,5.29,433,Food - Beverages,6/20/2025,23
513,Red Lentils,1.99,4232,Food - Grains,7/17/2025,2133
514,Protein Pancake Mix,3.99,1036,Food - Breakfast,5/20/2025,31
515,Pasta Maker,39,375,Kitchen,3/4/2025,806
516,Spinach Pizza Rolls,4.99,2730,Food - Frozen Foods,10/8/2025,6800
517,Chickpeas,1.29,95,Food - Canned Goods,2/28/2025,306
518,Dried Cranberries,4.29,900,Food - Snacks,2/21/2025,5123
519,Laptop Sleeve,24.99,1697,Accessories,3/28/2025,446
520,Cranberry Almond Cookies,4.29,1427,Food - Bakery,5/22/2025,2312
521,Digital Wireless Meat Thermometer,39.99,2075,Kitchen,12/15/2025,1046
522,Pepper Jack Cheese Sticks,2.49,435,Food - Snacks,9/22/2025,621
523,Yoga Blocks,29.99,1043,Fitness,10/29/2025,
524,Plant Pot Drip Trays,9.99,4522,Garden,1/19/2025,4400
525,Roasted Garlic Mashed Potatoes,3.99,5,Food - Frozen Foods,6/19/2025,40
526,Board Game,34.99,39,Toys,8/11/2025,4100
527,Quinoa and Kale Salad Kit,5.29,26,Food - Salads,3/18/2025,143
528,Portable Folding Picnic Table,69.99,1686,Outdoor,5/29/2025,63
529,Warm Knit Beanie,19.99,65,Clothing - Accessories,2/3/2025,414
530,BBQ Jackfruit,4.29,1987,Food - Prepared Foods,11/18/2025,86
531,Rustic Italian Bread,3.59,2,Food - Bakery,3/10/2025,
532,Crafting Kit,29.99,14,Art Supplies,5/21/2025,1382
533,Kale and Quinoa Salad,6.49,,Food - Salads,4/4/2025,24
534,Herbal Tea Infuser,9.99,0,Kitchen,4/26/2025,20
535,Pet Hair Removal Brush,14.99,4150,Pets,11/25/2025,575
536,Reusable Food Storage Bags,19.99,479,Kitchen,1/17/2025,1552
537,Foam Muscle Roller,24.99,4165,Fitness,2/13/2025,3290
538,Over-The-Door Shoe Organizer,25.99,15,Home,5/8/2025,2790
539,Luxe Velvet Blazer,89.99,38,Clothing - Outerwear,11/25/2025,250
540,Collapsible Pet Dog Bowl,9.99,569,Pets,1/24/2025,1016
541,Biodegradable Dog Waste Bags,14.99,705,Pets,3/5/2025,268
542,Portable Phone Charger,29.99,918,Accessories,2/11/2025,108
543,Slim Fit Chinos,54.99,1465,Clothing - Pants,7/3/2025,374
544,Quinoa and Kale Salad Kit,5.29,764,Food - Salads,10/10/2025,548
545,Car Phone Mount,15.99,446,Automotive,8/14/2025,92
546,Bamboo Cutting Board Set,34.99,834,Kitchen,2/10/2025,
547,Teriyaki Chicken Skewers,8.99,2663,Food - Meat,10/24/2025,16
548,Honey Sesame Chicken,8.99,663,Food - Frozen Food,2/18/2025,365
549,Protein Powder,44.99,4288,Fitness,2/23/2025,564
550,Cordless Electric Screwdriver,39.99,218,Tools,3/16/2025,1367
551,Wine Glasses,29.99,3810,Home,1/12/2025,2060
552,Caramelized Onion Dip,3.99,203,Food - Dairy,12/1/2025,3550
553,Bamboo Cutting Board,22,685,Kitchen,9/10/2025,3000
554,Self-Massaging Pillow,49.99,58,Health,8/2/2025,459
555,Magnetic Puzzle Board,24.99,20,Toys,7/16/2025,1808
556,Tactical Backpack,59.99,23,Outdoor,12/19/2024,1916
557,Chocolate Chip Pancake Mix,3.99,398,Food - Bakery,6/4/2025,9
558,Oatmeal Raisin Cookies,3.49,59,Food - Baked Goods,9/8/2025,427
559,Samsung Galaxy Smartwatch,249.99,124,Wearable Tech,1/18/2025,3295
560,Samsung Galaxy Smartwatch,249.99,1602,Wearable Tech,7/14/2025,1401
561,Luminous Night Light,15.99,942,Home,12/16/2025,209
562,Peach & Mango Salsa,4.49,1000,Food - Snacks,3/4/2025,607
563,Sparkling Blood Orange Soda,1.99,4,Food - Beverages,6/13/2025,2356
564,Black Olives,1.99,23,Food - Canned Goods,12/4/2025,512
565,Slim Wallet,24.99,200,Accessories,2/9/2025,685
566,Handheld Vacuum,79.99,2040,Home Appliances,12/19/2024,17
567,Field Journal,14.99,308,Books,2/22/2025,653
568,Vacuum Sealer Machine,89.99,30,Kitchen,2/23/2025,3970
569,Grapes (red),3.49,,Food - Produce,11/6/2025,3327
570,Wireless Smart Plug,19.99,-210,Smart Home,7/6/2025,90
571,Spicy Garlic Edamame,3.99,325,Food - Snacks,2/19/2025,
572,Mini Indoor Herb Garden Kit,24.99,20,Garden,4/30/2025,7989
573,Insulated Sport Tumbler,22.99,866,Fitness,9/26/2025,23
574,Sliced Ham,5.49,4921,Food - Meat,12/26/2024,138
575,Bamboo Cotton Tank Top,22.99,121,Clothing - Tops,5/19/2025,200
576,Organic Granola Cereal,5.99,241,Food - Breakfast,1/5/2025,492
577,Chili Con Carne Mix,2.99,2080,Food - Spices & Seasonings,8/31/2025,186
578,Personalized Pet ID Tags,9.99,1278,Pets,12/25/2024,219
579,Magnetic Curtain Tiebacks,12.99,63,Home,2/24/2025,12
580,Dog Training Collar,39.99,20,Pets,11/22/2025,1181
581,Children's Backpack,29.99,3365,Accessories,9/9/2025,74
582,Roasted Sweet Corn,1.99,540,Food - Frozen,11/13/2025,915
583,Smart Light Bulbs,34.99,1247,Smart Home,11/14/2025,23
584,Oven-Baked Potato Chips,2.79,148,Food - Snacks,5/30/2025,2231
585,Wireless Keyboard and Mouse Combo,34.99,495,Electronics,2/19/2025,32
586,Comfortable Jogger Pants,29.99,5440,Clothing - Bottoms,12/30/2024,1178
587,Ethically-Sourced Coffee Beans,9.99,15,Food - Beverages,9/8/2025,102
588,Smoked Gouda Cheese,5.49,1900,Food - Dairy,6/16/2025,150
589,Pet Bed with Removable Cover,49.99,10,Pets,8/13/2025,340
590,Arcade Game Machine,299.99,181,Gaming,2/21/2025,259
591,Non-Stick Baking Sheet,18.99,1831,Kitchen,9/24/2025,6858
592,Zesty Garlic Marinade,4.49,350,Food - Condiments,4/6/2025,394
593,Pork Chops,9.49,47,Food - Meat,7/13/2025,4423
594,Tomato Sauce,2.79,142,Food - Canned Goods,4/1/2025,996
595,Adjustable Laptop Stand,29.99,10,Office,6/3/2025,2500
596,Portable Camping Stove,49.99,2000,Outdoor,12/9/2025,82
597,Asian Stir-Fry Vegetables,2.99,794,Food - Frozen Foods,10/13/2025,-210
598,Plaid Flannel Shirt,29.99,138,Clothing - Tops,10/13/2025,7143
599,Fruit Infuser Water Bottle,15.99,,Fitness,8/2/2025,8
600,Wireless Earbuds Case,12.99,4174,Accessories,9/18/2025,644
601,Printed Maxi Skirt,39.99,17,Clothing - Skirts,9/15/2025,55
602,Savory Oats,2.49,1148,Food - Breakfast,1/5/2025,46
603,Spicy Thai Noodles,1.99,270,Food - Frozen Meals,6/6/2025,98
604,Skincare Set,54.99,1955,Beauty,4/30/2025,540
605,Coconut Milk,2.49,260,Food - Canned Goods,8/24/2025,141
606,Tandoori Chicken Skewers,7.99,1887,Food - Meat,10/5/2025,732
607,Electric Razor,59.99,8,Health,3/27/2025,57
608,Self-Adhesive Wallpaper,34.99,1726,Home,9/15/2025,266
609,Peach & Mango Salsa,4.49,834,Food - Snacks,2/3/2025,820
610,Ginger Snaps,2.79,5192,Food - Confectionery,2/28/2025,64
611,Self-Inflating Camping Mattress,49.99,23,Outdoor,8/27/2025,614
612,Microfiber Cleaning Cloths,9.99,4700,Home,8/1/2025,782
613,Baking Soda,0.99,600,Food - Baking,3/7/2025,3599
614,Pistachio Ice Cream,4.99,3970,Food - Frozen Desserts,3/5/2025,390
615,Sweet Potato and Chickpea Bowl,6.49,695,Food - Frozen Food,6/26/2025,81
616,Cheesy Broccoli Soup Mix,2.99,54,Food - Soups,4/14/2025,1245
617,Pepper Jack Cheese Slices,3.49,203,Food - Dairy,2/5/2025,570
618,Solar Charger,39.99,4229,Electronics,6/16/2025,1478
619,Portable Pet Water Bottle,18.99,443,Pets,9/27/2025,35
620,Jennifer's Amazing Lip Balm Kit,22.99,74,Beauty,4/26/2025,538
621,Coloring Books for Adults,14.99,5522,Books,3/2/2025,265
622,Fleece Throw Blanket,29.99,3297,Home,3/4/2025,1032
623,Sporty Cap,15.99,9500,Clothing - Accessories,12/17/2024,95
624,Cushion Covers,35,1,Home,3/4/2025,1036
625,Caramelized Onion Dip,3.99,345,Food - Dairy,1/1/2025,30
626,Fitness Resistance Bands Kit,29.99,3934,Fitness,1/4/2025,69
627,Home Office Chair,199.99,105,Furniture,10/24/2025,1560
628,Folding Exercise Bike,199.99,1712,Fitness,12/5/2025,24
629,Vegetable Lasagna,6.99,8,Food - Frozen Foods,12/26/2024,170
630,Dried Apricots,3.79,935,Food - Dried Fruits,5/13/2025,1387
631,Shatterproof Wine Glasses,24.99,75,Outdoor,2/2/2025,328
632,Smart Scale,59.99,40,Health,10/6/2025,39
633,LED Disco Ball Light,19.99,52,Home,12/13/2025,350
634,Raspberry Limeade,1.99,529,Food - Beverages,5/5/2025,685
635,Tattoo Kit,99.99,99,Art Supplies,3/28/2025,15
636,Teriyaki Chicken Stir-Fry,6.99,390,Food - Frozen Foods,8/7/2025,2897
637,High-Low Hem Tee,22.99,28,Clothing - Tops,9/7/2025,3782
638,Portable Phone Mug Holder,14.99,15,Automotive,1/21/2025,179
639,Spicy Thai Noodles,1.99,9,Food - Frozen Meals,2/28/2025,46
640,Mini Fondue Set,34.99,3132,Kitchen,4/3/2025,194
641,Athletic Sports Bra,24.99,655,Clothing - Activewear,6/1/2025,84
642,Fleece Throw Blanket,29.99,30,Home,10/9/2025,5536
643,Traditional Hummus,3.29,2631,Food - Dips,3/27/2025,178
644,Thai Basil Fried Rice,5.99,473,Food - Frozen,4/12/2025,802
645,Portable Bluetooth Headphones,79.99,387,Audio,11/18/2025,2540
646,Travel Pillow,22.99,3680,Travel,9/13/2025,915
647,Outdoor Inflatable Pool,149.99,11,Outdoor,11/16/2025,79
648,Garlic Parmesan Roasted Nuts,4.89,1877,Food - Nuts,3/24/2025,66
649,Smart Doorbell,119.99,356,Smart Home,1/1/2025,1497
650,Almond Crunch Granola Bars,3.49,1211,Food - Snacks,3/1/2025,23
651,Animal Paw Print Soap Dispenser,16.99,436,Home,3/6/2025,324
652,Memory Card,15.99,1552,Storage,4/9/2025,1098
653,Soft Plush Throw Blanket,29.99,,Home,7/10/2025,36
654,Sushi Rice,3.99,3400,Food - Grains,9/29/2025,
655,Noise-Canceling Earbuds,79.99,92,Audio,3/23/2025,2126
656,Lemon Herb Grilled Chicken,9.99,1,Food - Meat,11/22/2025,33
657,Pita Bread,2.99,230,Food - Bakery,12/12/2025,3362
658,Athletic Sports Bra,24.99,1036,Clothing - Activewear,4/1/2025,75
659,Pumpkin Seeds,2.79,1965,Food - Snacks,11/2/2025,738
660,Basmati Rice,5.79,18,Food - Grains,7/27/2025,1240
661,Personal Blender,39.99,198,Kitchen,10/14/2025,1267
662,Dog Training Collar,39.99,1249,Pets,11/10/2025,3550
663,Bluetooth Car Adapter,24.99,129,Automotive,10/9/2025,800
664,Chicken Fajita Kit,8.99,33,Food - Prepared Foods,3/2/2025,2153
665,Savory Breakfast Sausage,6.49,61,Food - Meats,11/13/2025,88
666,Frozen Acai Pur̩e,6.99,272,Food - Frozen,10/22/2025,15
667,Instant Pot,89.99,39,Kitchen,4/30/2025,9
668,Buffalo Chicken Dip,5.99,151,Food - Dips,9/2/2025,165
669,DIY Lip Balm Making Kit,22.99,,Crafts,6/3/2025,122
670,Multifunctional Baby Bottle Warmer,39.99,59,Baby,4/2/2025,40
671,Classic Bagels,2.99,421,Food - Bakery,4/29/2025,6723
672,Noise Reduction Headphones,39.99,2737,Audio,3/19/2025,1017
673,Nutty Quinoa Salad,4.99,17,Food - Salads,10/29/2025,1888
674,LED Flashlight,19.99,15,Outdoor,1/5/2025,728
675,Memory Foam Mattress Pad,69.99,1968,Home,4/21/2025,1266
676,Noise Cancelling Ear Muffs,24.99,157,Safety,12/25/2024,4300
677,Fashionable Scarves Set,24.99,430,Clothing,1/9/2025,157
678,Mobile Workbench,199.99,627,Tools,12/22/2024,436
679,Organic Coconut Yogurt,4.49,3520,Food - Dairy,9/27/2025,5687
680,Portable Blender,30,3318,Kitchen,12/4/2025,2302
681,Portable Massage Table,199.99,81,Health,2/5/2025,243
682,White Rice,1.49,3904,Food - Grains,1/23/2025,3703
683,Pet Grooming Scissors,16.99,102,Pets,5/21/2025,26
684,French Onion Dip,2.99,1191,Food - Condiments,9/5/2025,3951
685,Kids' Gardening Tools Set,22.99,2287,Toys,2/7/2025,2139
686,Frozen Hash Browns,2.99,92,Food - Frozen Foods,4/27/2025,11
687,Adjustable Laptop Desk,59.99,59,Office,4/6/2025,
688,Cream Cheese,2.69,141,Food - Dairy,7/12/2025,93
689,Wireless Printer,99.99,1095,Office,8/16/2025,814
690,Grass Fed Beef Patties,9.99,75,Food - Meat,2/13/2025,1280
691,Cocoa Powder,3.99,,Food - Baking,3/29/2025,62
692,Chocolate Dipped Fruit,5.99,20,Food - Snacks,3/3/2025,79
693,Hand Mixer,29.99,588,Kitchen,7/9/2025,12
694,Raspberry Vanilla Greek Yogurt,3.49,268,Food - Dairy,6/9/2025,548
695,Garden Hose Reel,49.99,,Garden,4/27/2025,29
696,Motion Sensor Light,19.99,1965,Home,10/25/2025,1270
697,Cranberry Almond Granola,4.29,125,Food - Breakfast,10/26/2025,90
698,Fitness Tracker,49.99,32,Fitness,5/14/2025,2136
699,Smart Wi-Fi Light Bulbs,19.99,90,Smart Home,6/2/2025,2965
700,Coconut Cream,2.99,832,Food - Baking & Cooking,10/11/2025,4473
701,DIY Candle Making Kit,22.99,8361,Crafts,4/1/2025,2467
702,High-Quality Yoga Block,12.99,646,Fitness,11/27/2025,162
703,Golf Putting Green,79.99,582,Sports,10/6/2025,33
704,Honey Lemon Tea,3.29,1493,Food - Beverages,8/13/2025,493
705,Multicolored LED Strip Lights,29.99,26,Home,1/2/2025,54
706,Black Bean & Corn Salad,3.99,5330,Food - Salads,9/11/2025,164
707,Dill Pickle Chips,2.29,33,Food - Condiments,4/23/2025,1024
708,Coconut Curry Sauce,3.89,612,Food - Sauces,3/6/2025,464
709,Tortilla Chips,2.99,197,Food - Snacks,8/29/2025,328
710,Bluetooth Shower Speaker,24.99,80,Audio,7/12/2025,1003
711,Bodyweight Resistance Bands,22.99,1334,Fitness,6/28/2025,3919
712,Organic Ramen Noodles,2.89,263,Food - Pasta,3/16/2025,940
713,Vegan Chickpea Salad,3.99,61,Food - Prepared Foods,11/1/2025,283
714,Collapsible Folding Chair,29.99,,Outdoor,3/29/2025,85
715,Organic Baby Spinach,2.99,3295,Food - Produce,11/29/2025,214
716,Almond Flour Pizza Crust,7.99,768,Food - Frozen Foods,6/18/2025,4804
717,Folding Pocket Knife,24.99,67,Tools,12/9/2025,20
718,Sweetened Condensed Milk,1.89,1765,Food - Baking Goods,2/20/2025,647
719,Scented Candle Set,24.99,305,Home,3/9/2025,641
720,Green Tea Matcha Powder,15.99,,Food - Beverages,6/23/2025,860
721,Collapsible Water Bottle,12.99,1408,Fitness,11/19/2025,172
722,Faux Fur Throw Blanket,39.99,369,Home,5/30/2025,119
723,Home Karaoke System,129.99,78,Audio,12/26/2024,60
724,Sliced Avocado,2.79,0,Food - Produce,9/11/2025,335
725,Portable Jump Starter,59.99,1860,Automotive,8/3/2025,883
726,Coconut Cream,2.99,308,Food - Baking & Cooking,9/14/2025,1966
727,Non-Slip Yoga Socks,12.99,1985,Fitness,9/24/2025,1476
728,Tandoori Chicken Skewers,7.99,10,Food - Meat,10/3/2025,5720
729,Mobile Workbench,199.99,677,Tools,8/13/2025,55
730,Pet Hair Vacuum Attachment,14.99,,Pets,2/19/2025,92
731,Aeropress Coffee Maker,29.99,822,Kitchen,10/17/2025,0
732,Peanut Butter Protein Balls,5.29,197,Food - Snacks,10/30/2025,22
733,Sweet Pea Hummus,4.29,13,Food - Dips,4/19/2025,46
734,LED Strip Light Kit,39.99,34,Home,10/21/2025,748
735,Magnetic Chess Set,19.99,509,Toys,7/17/2025,845
736,Cocoa Powder,3.99,61,Food - Baking,5/5/2025,131
737,Tailored Dress Pants,79.99,1175,Clothing - Bottoms,10/4/2025,1265
738,Arcade Game Machine,299.99,3358,Gaming,8/29/2025,377
739,Sriracha Sauce,3.19,11,Food - Condiments,3/13/2025,5
740,Electric Nail File Kit,34.99,1047,Beauty,3/4/2025,42
741,Teriyaki Chicken Skewers,8.99,334,Food - Meat,4/13/2025,56
742,Chocolate Protein Powder,24.99,390,Food - Supplements,9/12/2025,1380
743,Pumpkin Spice Cookies,3.29,2320,Food - Bakery,8/19/2025,742
744,Electric Hot Water Dispenser,59.99,374,Kitchen,10/22/2025,73
745,Chickpea Pancakes,4.99,724,Food - Frozen,5/3/2025,1270
746,Travel Hair Straightener,29.99,725,Beauty,1/9/2025,
747,Pecan Pie Filling,3.99,,Food - Baking Goods,12/16/2025,88
748,Vegan Tacos,7.49,1817,Food - Frozen Foods,4/26/2025,19
749,Gardening Tools Set,45,,Garden,3/9/2025,6
750,Adjustable Pet Feeder,39.99,786,Pets,6/30/2025,262
751,Pumpkin Seeds,2.79,120,Food - Snacks,9/20/2025,2472
752,Cocoa Powder,3.99,131,Food - Baking,3/29/2025,783
753,Warm Knit Beanie,19.99,1444,Clothing - Accessories,12/21/2024,84
754,LED Desk Lamp with USB Charging,39.99,604,Office,12/14/2025,35
755,Pet Hair Vacuum Attachment,14.99,20,Pets,1/11/2025,3517
756,Frozen Broccoli,2.49,725,Food - Frozen,3/2/2025,3782
757,Siphon Coffee Maker,49.99,93,Kitchen,8/10/2025,1359
758,Compact Shoe Rack,34.99,489,Home,6/22/2025,
759,Peanut Butter Banana Smoothie,3.99,3279,Food - Beverages,4/3/2025,12
760,Under Desk Footrest,29.99,89,Office,4/24/2025,6449
761,Fashionable Scarves Set,24.99,14,Clothing,2/12/2025,4759
762,High-Speed Blender,99.99,100,Kitchen,12/5/2025,173
763,Cooking Utensil Set,24.99,5638,Kitchen,11/25/2025,
764,Pecan Pie Filling,3.99,1050,Food - Baking Goods,7/19/2025,36
765,Adjustable Window Blind,49.99,2647,Home,9/13/2025,622
766,Pumpkin Spice Creamer,3.79,12,Food - Beverages,9/17/2025,443
767,Thai Basil Fried Rice,5.99,65,Food - Frozen,8/30/2025,1060
768,Sports Windbreaker,44.99,1610,Clothing - Outerwear,8/18/2025,16
769,Dual Function Electric Skillet,59.99,,Kitchen,7/2/2025,1484
770,Smoky BBQ Jackfruit,4.99,,Food - Grocery,1/14/2025,790
771,Freestanding Wine Rack,79.99,16,Home,11/18/2025,353
772,Sweet Corn,1.5,650,Food - Canned Goods,4/10/2025,636
773,Couscous Mix,2.49,4021,Food - Grains,1/21/2025,1411
774,Smart Plug,19.99,5282,Smart Home,10/8/2025,879
